URL,schema blocks,types found,expected type,correct type,errors
/blog/website-maintenance-services-in-toronto-gta,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,'&' in text (want 'and') | smart/non-ascii chars: — | priceRange present | no WebPage-type node | WebSite lacks @id
/blog/drive-growth-with-stunning-and-effective-toronto-web-design,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/why-website-development-is-important,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/your-guide-to-choosing-a-web-design-company-in-toronto-and-the-gta,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,'&' in text (want 'and') | smart/non-ascii chars: — | priceRange present | no WebPage-type node | WebSite lacks @id
/blog/toronto-website-designers-avoiding-costly-pitfalls-in-a-digital-maze,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/web-development-and-hosting-tips-and-guides,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | '&' in text (want 'and') | priceRange present | no WebPage-type node | WebSite lacks @id
/blog/custom-web-design-canada-tips-and-guides,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/website-developers-near-me-for-your-business,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/choose-a-web-design-company-for-your-business,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/why-canadian-web-designs-is-the-go-to-web-design-company-for-your-digital-success,5,"BlogPosting;BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/ultimate-guide-to-the-best-website-builders,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/canadian-web-designs-your-local-website-design-experts,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/10-reasons-to-choose-wordpress-as-your-cms,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/google-ads-management,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/black-hat-seo-vs-white-hat-seo,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/infographics,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/what-is-a-landing-page,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/10-fun-facts-about-the-digital-history,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/elevating-your-brand-the-essential-role-of-canadian-graphic-design,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/google-voice-search,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/guide-to-ecommerce-website-design-best-practices-in-2023,5,"BlogPosting;BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/how-do-i-create-a-wordpress-website,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/how-does-local-seo-benefit-your-business-in-2023,5,"BlogPosting;BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/how-much-does-website-maintenance-really-cost,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | smart/non-ascii chars: – | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/how-to-migrate-from-shopify-to-woocommerce,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/kijiji-ads-marketing-strategy-for-local-businesses,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/local-seo-and-gmb-optimization,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/marketing-automation-software-overview,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/minimalist-website-design,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/progressive-web-apps,5,"BlogPosting;BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/responsive-web-design-how-to-overcome-9-common-mistakes,5,"BlogPosting;BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/social-proof-marketing-in-social-media,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/top-10-implementations-for-creating-seo-friendly-urls,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/top-10-tips-for-boosting-seo-for-2023,5,"BlogPosting;BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,priceRange present | smart/non-ascii chars: — | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/top-web-design-tools-for-designers-2023,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/what-is-flat-design,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,'&' in text (want 'and') | smart/non-ascii chars: — | priceRange present | no WebPage-type node | WebSite lacks @id
/blog/best-menu-design-service,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/best-photo-editing-services,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | '&' in text (want 'and') | priceRange present | no WebPage-type node | WebSite lacks @id
/blog/best-print-advertisement-design-services,5,"BlogPosting;BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,priceRange present | smart/non-ascii chars: — | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/best-web-design-canada,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/on-page-optimization,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/why-busines-needs-website,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/the-ultimate-guide-to-creating-a-successful-squarespace-website,5,"BlogPosting;BreadcrumbList;ListItem;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
/blog/top-10-ai-tools-for-digital-marketing,6,"BlogPosting;BreadcrumbList;ListItem;FAQPage;Question;LocalBusiness,ProfessionalService;WebSite;Service",BlogPosting,YES,smart/non-ascii chars: — | priceRange present | '&' in text (want 'and') | no WebPage-type node | WebSite lacks @id
